epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.3531,2.43788,0.68734,0.97519,1.21148,0.000144058,0.000144058,0.000144058
2,38.1928,0.86781,0.94541,0.99752,0.21219,0.000283335,0.000283335,0.000283335
3,52.3677,0.35596,0.95285,1,0.14578,0.00041687,0.00041687,0.00041687
4,66.4259,0.22945,0.94541,0.99752,0.15991,0.000409161,0.000409161,0.000409161
5,80.3997,0.18492,0.93797,0.99256,0.22273,0.000400548,0.000400548,0.000400548
6,94.3028,0.15544,0.94789,0.99752,0.17636,0.000391935,0.000391935,0.000391935
7,108.341,0.13721,0.97022,1,0.13539,0.000383322,0.000383322,0.000383322
8,122.451,0.1103,0.96278,1,0.17929,0.000374709,0.000374709,0.000374709
9,136.183,0.10191,0.96278,0.99504,0.13227,0.000366096,0.000366096,0.000366096
10,150.161,0.08836,0.9603,0.99007,0.23689,0.000357483,0.000357483,0.000357483
11,164.185,0.09314,0.96526,0.99504,0.18274,0.00034887,0.00034887,0.00034887
12,178.312,0.07318,0.9727,0.99504,0.18897,0.000340257,0.000340257,0.000340257
13,192.449,0.06395,0.95782,0.99752,0.14939,0.000331644,0.000331644,0.000331644
14,206.402,0.07133,0.96278,0.99752,0.11422,0.000323031,0.000323031,0.000323031
15,219.577,0.06887,0.97022,0.99752,0.14154,0.000314418,0.000314418,0.000314418
16,232.644,0.05731,0.95782,1,0.15541,0.000305805,0.000305805,0.000305805
17,246.368,0.06201,0.95782,0.99752,0.18962,0.000297192,0.000297192,0.000297192
