epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1772,1.26745,4.70972,1.37675,0.50032,0.17557,0.25328,0.18216,0.82249,4.34063,1.01922,0.000143274,0.000143274,0.000143274
2,31.4507,1.02996,3.27178,1.14764,0.5735,0.66181,0.68779,0.55349,0.80913,3.19765,1.03459,0.000276858,0.000276858,0.000276858
3,46.5727,0.99101,2.64927,1.12753,0.75483,0.74381,0.82393,0.63568,0.82515,2.5717,1.09232,0.000398959,0.000398959,0.000398959
4,61.832,0.92403,2.19472,1.08697,0.78597,0.79088,0.87968,0.72038,0.73325,2.27688,1.03668,0.000383322,0.000383322,0.000383322
5,76.9919,0.8963,1.9267,1.07024,0.82547,0.8585,0.91742,0.75075,0.71392,1.97806,1.00124,0.000366096,0.000366096,0.000366096
6,92.2628,0.85811,1.72868,1.05695,0.9247,0.87205,0.94611,0.7822,0.68179,1.61499,0.99078,0.00034887,0.00034887,0.00034887
7,107.725,0.83205,1.59271,1.04146,0.90919,0.89687,0.93858,0.8003,0.64505,1.6154,0.97222,0.000331644,0.000331644,0.000331644
8,123.107,0.8135,1.45718,1.03152,0.9186,0.86693,0.94988,0.79915,0.66959,1.48978,0.97977,0.000314418,0.000314418,0.000314418
9,138.615,0.78366,1.33465,1.02702,0.89639,0.91345,0.94987,0.80618,0.6367,1.33594,0.95946,0.000297192,0.000297192,0.000297192
10,154.226,0.76365,1.25864,1.0102,0.86852,0.94227,0.96033,0.81111,0.63757,1.26333,0.97213,0.000279966,0.000279966,0.000279966
11,169.757,0.73519,1.16256,0.99304,0.91655,0.95762,0.97703,0.83208,0.62746,1.19077,0.95462,0.00026274,0.00026274,0.00026274
12,185.261,0.72512,1.10308,0.99351,0.94336,0.91664,0.97435,0.83732,0.60009,1.12168,0.94695,0.000245514,0.000245514,0.000245514
13,200.731,0.7095,1.03646,0.9837,0.92863,0.91707,0.96534,0.83376,0.59852,1.06391,0.94122,0.000228288,0.000228288,0.000228288
14,216.146,0.69255,1.01294,0.99092,0.9206,0.94346,0.96779,0.83013,0.60249,1.01499,0.95006,0.000211062,0.000211062,0.000211062
15,231.442,0.68135,0.98019,0.98196,0.9289,0.93086,0.9714,0.84473,0.57659,0.96847,0.93493,0.000193836,0.000193836,0.000193836
16,273.804,0.54265,0.86006,0.94038,0.94708,0.91948,0.97009,0.84018,0.58132,0.96476,0.94796,0.00017661,0.00017661,0.00017661
17,288.672,0.52295,0.78207,0.92491,0.93358,0.96418,0.97377,0.8481,0.57188,0.873,0.93011,0.000159384,0.000159384,0.000159384
18,303.681,0.50409,0.74599,0.91879,0.9258,0.95965,0.97272,0.84665,0.57968,0.82072,0.94325,0.000142158,0.000142158,0.000142158
19,318.775,0.48709,0.70952,0.90092,0.94749,0.9459,0.98156,0.85717,0.57321,0.80748,0.93519,0.000124932,0.000124932,0.000124932
20,333.826,0.48186,0.67647,0.90475,0.94082,0.95452,0.98118,0.86547,0.54694,0.76209,0.91924,0.000107706,0.000107706,0.000107706
21,348.885,0.45532,0.65297,0.89342,0.94176,0.94647,0.97379,0.85952,0.5292,0.7664,0.91288,9.048e-05,9.048e-05,9.048e-05
22,363.943,0.45488,0.62728,0.8921,0.94965,0.94118,0.98035,0.86918,0.52292,0.7404,0.91916,7.3254e-05,7.3254e-05,7.3254e-05
23,379.098,0.44276,0.61005,0.89046,0.95253,0.94296,0.97912,0.87892,0.50567,0.7216,0.90571,5.6028e-05,5.6028e-05,5.6028e-05
24,394.273,0.42243,0.59989,0.87946,0.95756,0.9423,0.98127,0.87956,0.50759,0.70611,0.90978,3.8802e-05,3.8802e-05,3.8802e-05
25,409.571,0.40934,0.58909,0.87803,0.95772,0.94106,0.98304,0.87884,0.50452,0.70114,0.90744,2.1576e-05,2.1576e-05,2.1576e-05
