epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8834,1.26436,4.71678,1.37189,0.74746,0.11811,0.31975,0.23345,0.80646,4.32573,1.00183,0.000143274,0.000143274,0.000143274
2,31.2424,1.03094,3.26988,1.14863,0.68699,0.60672,0.68465,0.54654,0.79834,3.20531,1.01585,0.000282566,0.000282566,0.000282566
3,46.5238,1.00141,2.66887,1.12719,0.60716,0.80468,0.80809,0.6092,0.86207,2.75328,1.12868,0.000416116,0.000416116,0.000416116
4,61.6842,0.92072,2.21628,1.07362,0.78126,0.80156,0.8779,0.71723,0.75048,2.24192,1.00899,0.000409161,0.000409161,0.000409161
5,76.9429,0.90816,1.91976,1.06867,0.77188,0.8649,0.90606,0.73652,0.72892,1.91285,0.99258,0.000400548,0.000400548,0.000400548
6,92.1051,0.85287,1.72841,1.04875,0.85282,0.84028,0.92626,0.77077,0.71404,1.83906,0.9829,0.000391935,0.000391935,0.000391935
7,107.309,0.87465,1.6038,1.04873,0.83657,0.87118,0.91924,0.75233,0.73038,1.72889,0.98278,0.000383322,0.000383322,0.000383322
8,122.534,0.81429,1.44749,1.0233,0.89166,0.88237,0.95781,0.81472,0.63665,1.38362,0.94628,0.000374709,0.000374709,0.000374709
9,137.681,0.80899,1.31311,1.02018,0.8832,0.93849,0.96241,0.81048,0.66978,1.27904,0.96528,0.000366096,0.000366096,0.000366096
10,152.946,0.77348,1.24506,1.00561,0.90581,0.89867,0.95222,0.81416,0.63572,1.26019,0.95009,0.000357483,0.000357483,0.000357483
11,168.313,0.76147,1.15458,0.99982,0.90898,0.92033,0.9647,0.81554,0.64887,1.16022,0.95965,0.00034887,0.00034887,0.00034887
12,183.606,0.73841,1.09317,0.99764,0.92588,0.93413,0.97002,0.82058,0.63971,1.10874,0.95646,0.000340257,0.000340257,0.000340257
13,198.916,0.72252,1.03104,0.98408,0.91723,0.87907,0.95594,0.80995,0.61664,1.08894,0.94331,0.000331644,0.000331644,0.000331644
14,214.275,0.71792,1.0139,0.99742,0.93201,0.93911,0.96719,0.83442,0.60511,0.94354,0.94392,0.000323031,0.000323031,0.000323031
15,229.652,0.71991,0.96349,0.98917,0.91419,0.92214,0.97518,0.83213,0.61602,0.9573,0.93393,0.000314418,0.000314418,0.000314418
16,245,0.70741,0.93749,0.9799,0.92809,0.93436,0.97277,0.8387,0.60291,0.87335,0.94608,0.000305805,0.000305805,0.000305805
17,260.403,0.6954,0.89213,0.98455,0.92498,0.96071,0.98321,0.85618,0.57947,0.80689,0.93276,0.000297192,0.000297192,0.000297192
18,275.719,0.68868,0.87325,0.97173,0.91956,0.93433,0.97359,0.83613,0.595,0.82268,0.93292,0.000288579,0.000288579,0.000288579
19,290.978,0.70127,0.86535,0.9806,0.94095,0.9482,0.97901,0.84114,0.61465,0.79765,0.94016,0.000279966,0.000279966,0.000279966
20,306.396,0.66907,0.79793,0.97239,0.92711,0.94676,0.97506,0.84029,0.59081,0.7598,0.92347,0.000271353,0.000271353,0.000271353
21,321.743,0.66011,0.75806,0.95877,0.93341,0.94363,0.98067,0.8609,0.54854,0.71148,0.90895,0.00026274,0.00026274,0.00026274
22,336.969,0.65366,0.7761,0.96204,0.92346,0.94212,0.97809,0.84532,0.5685,0.70658,0.91835,0.000254127,0.000254127,0.000254127
23,352.22,0.63342,0.73713,0.95335,0.91598,0.92475,0.97463,0.84325,0.59576,0.75155,0.93061,0.000245514,0.000245514,0.000245514
24,367.51,0.64812,0.74192,0.96047,0.9394,0.9534,0.97891,0.8437,0.58307,0.67371,0.9251,0.000236901,0.000236901,0.000236901
25,382.752,0.62336,0.68829,0.9455,0.9389,0.93782,0.96642,0.83569,0.58913,0.698,0.93052,0.000228288,0.000228288,0.000228288
26,397.965,0.61738,0.6863,0.95752,0.94336,0.94919,0.9812,0.84898,0.58596,0.66281,0.92939,0.000219675,0.000219675,0.000219675
27,413.389,0.61498,0.67,0.94459,0.94474,0.95266,0.98297,0.85656,0.55055,0.594,0.91702,0.000211062,0.000211062,0.000211062
28,428.689,0.58859,0.63115,0.93272,0.94791,0.93983,0.97799,0.86417,0.53634,0.60757,0.90544,0.000202449,0.000202449,0.000202449
29,444.284,0.58518,0.63259,0.92776,0.9295,0.93399,0.97933,0.85905,0.54689,0.61124,0.91838,0.000193836,0.000193836,0.000193836
30,459.744,0.5967,0.62462,0.94488,0.91897,0.96926,0.98159,0.85722,0.55024,0.59047,0.9159,0.000185223,0.000185223,0.000185223
31,475.233,0.58244,0.61547,0.93376,0.92418,0.95439,0.98106,0.86198,0.534,0.57735,0.91101,0.00017661,0.00017661,0.00017661
32,490.602,0.57096,0.57942,0.92251,0.92211,0.95919,0.9773,0.86344,0.53767,0.57444,0.90623,0.000167997,0.000167997,0.000167997
33,505.891,0.5676,0.58484,0.92524,0.94311,0.93925,0.98115,0.8594,0.53816,0.55186,0.91306,0.000159384,0.000159384,0.000159384
34,521.177,0.54897,0.56555,0.92067,0.94792,0.93784,0.98381,0.86802,0.5307,0.55103,0.91184,0.000150771,0.000150771,0.000150771
35,536.532,0.54922,0.563,0.92265,0.93984,0.94129,0.9823,0.86675,0.52362,0.56011,0.9088,0.000142158,0.000142158,0.000142158
36,551.825,0.54897,0.55515,0.92228,0.94512,0.94841,0.98282,0.8648,0.52369,0.52354,0.90674,0.000133545,0.000133545,0.000133545
37,567.198,0.53499,0.5391,0.91006,0.96582,0.97106,0.98599,0.8663,0.52533,0.50846,0.91226,0.000124932,0.000124932,0.000124932
38,582.535,0.52977,0.52664,0.90908,0.93766,0.95819,0.98126,0.86034,0.53351,0.52399,0.92372,0.000116319,0.000116319,0.000116319
39,597.826,0.53779,0.53141,0.91892,0.94446,0.96756,0.98207,0.87453,0.5221,0.50719,0.90645,0.000107706,0.000107706,0.000107706
40,613.094,0.5234,0.522,0.9141,0.94131,0.95291,0.98188,0.87441,0.52137,0.51974,0.90615,9.9093e-05,9.9093e-05,9.9093e-05
41,654.632,0.39572,0.40459,0.85775,0.95757,0.95093,0.98627,0.8627,0.52987,0.50805,0.91314,9.048e-05,9.048e-05,9.048e-05
42,669.654,0.38441,0.39039,0.84964,0.95368,0.96046,0.98147,0.86999,0.52434,0.49182,0.91253,8.1867e-05,8.1867e-05,8.1867e-05
43,684.871,0.38427,0.38494,0.84898,0.95554,0.96318,0.97856,0.86084,0.53345,0.49613,0.92795,7.3254e-05,7.3254e-05,7.3254e-05
44,700.329,0.36595,0.36963,0.84285,0.96341,0.9515,0.98494,0.87154,0.51044,0.48337,0.90609,6.4641e-05,6.4641e-05,6.4641e-05
45,715.62,0.36888,0.36866,0.846,0.96719,0.95745,0.98833,0.88502,0.49852,0.46428,0.90118,5.6028e-05,5.6028e-05,5.6028e-05
46,731.017,0.35352,0.36491,0.84129,0.9567,0.96139,0.98488,0.8755,0.50094,0.46304,0.90172,4.7415e-05,4.7415e-05,4.7415e-05
47,746.178,0.34773,0.35571,0.83517,0.95201,0.96688,0.98538,0.88029,0.50288,0.45529,0.9052,3.8802e-05,3.8802e-05,3.8802e-05
48,761.443,0.33706,0.35126,0.82698,0.95566,0.95583,0.98405,0.87431,0.50363,0.45987,0.90746,3.0189e-05,3.0189e-05,3.0189e-05
49,776.706,0.33813,0.34614,0.83942,0.96156,0.95743,0.98545,0.87323,0.5044,0.46006,0.90842,2.1576e-05,2.1576e-05,2.1576e-05
50,792.032,0.32836,0.34012,0.83067,0.96089,0.96036,0.98558,0.8743,0.49939,0.4546,0.90468,1.2963e-05,1.2963e-05,1.2963e-05
