epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7687,1.26971,4.87363,1.37915,0.01736,0.8781,0.12728,0.08474,1.04114,4.73198,1.1439,0.000143274,0.000143274,0.000143274
2,34.9619,1.05605,3.7304,1.15321,0.47611,0.4975,0.48651,0.37318,0.83935,3.72866,1.07087,0.000282566,0.000282566,0.000282566
3,51.8745,1.0584,3.06212,1.15118,0.50505,0.67135,0.66471,0.50069,0.8899,3.55801,1.09634,0.000416116,0.000416116,0.000416116
4,68.8511,0.97925,2.52563,1.08255,0.72805,0.76922,0.82593,0.65426,0.7731,2.35919,1.01433,0.000409161,0.000409161,0.000409161
5,85.8246,0.93109,2.133,1.06822,0.7496,0.799,0.87755,0.71284,0.75596,2.17069,1.00113,0.000400548,0.000400548,0.000400548
6,103.145,0.89843,1.9262,1.06242,0.83326,0.86954,0.90558,0.74615,0.73404,1.87789,0.96718,0.000391935,0.000391935,0.000391935
7,120.453,0.89339,1.76981,1.05752,0.80635,0.86923,0.90419,0.75727,0.67825,1.73019,0.95057,0.000383322,0.000383322,0.000383322
8,137.85,0.8464,1.56651,1.02329,0.8547,0.88924,0.92715,0.75482,0.72443,1.55728,0.96684,0.000374709,0.000374709,0.000374709
9,155.265,0.822,1.4557,1.02491,0.88774,0.92635,0.96511,0.79562,0.70843,1.36112,0.96209,0.000366096,0.000366096,0.000366096
10,172.782,0.80853,1.33188,1.01627,0.92829,0.91536,0.96216,0.80678,0.67728,1.27968,0.95688,0.000357483,0.000357483,0.000357483
11,189.966,0.77872,1.25107,1.00102,0.92461,0.91353,0.96704,0.82049,0.66957,1.23746,0.94571,0.00034887,0.00034887,0.00034887
12,208.363,0.77541,1.18033,1.00402,0.88265,0.93426,0.96034,0.80314,0.67382,1.16091,0.93245,0.000340257,0.000340257,0.000340257
13,225.906,0.75015,1.11452,0.98176,0.84968,0.91981,0.94226,0.80541,0.6424,1.23998,0.92493,0.000331644,0.000331644,0.000331644
14,242.998,0.76022,1.0848,0.995,0.92797,0.95708,0.97763,0.81812,0.6851,0.98056,0.94732,0.000323031,0.000323031,0.000323031
15,260.659,0.73863,1.05585,0.98222,0.92704,0.85907,0.95776,0.79637,0.67802,1.1523,0.95791,0.000314418,0.000314418,0.000314418
16,278.476,0.72486,1.00253,0.97817,0.93595,0.89314,0.95559,0.80183,0.66231,1.05477,0.94056,0.000305805,0.000305805,0.000305805
17,295.376,0.701,0.93549,0.97736,0.91703,0.94208,0.96418,0.83196,0.60211,0.98596,0.91899,0.000297192,0.000297192,0.000297192
18,312.59,0.69694,0.92747,0.96766,0.93709,0.94768,0.96432,0.83004,0.61628,0.85304,0.91962,0.000288579,0.000288579,0.000288579
19,330.204,0.71666,0.88729,0.98041,0.95826,0.93644,0.98192,0.85358,0.5729,0.77372,0.90764,0.000279966,0.000279966,0.000279966
20,347.819,0.68916,0.84062,0.96597,0.94667,0.9408,0.9818,0.8432,0.59055,0.76465,0.91354,0.000271353,0.000271353,0.000271353
21,364.999,0.69383,0.81517,0.96951,0.95944,0.95385,0.97746,0.84458,0.56615,0.75941,0.90629,0.00026274,0.00026274,0.00026274
22,382.355,0.67152,0.802,0.95239,0.94234,0.95155,0.97116,0.84223,0.57647,0.74902,0.90044,0.000254127,0.000254127,0.000254127
23,399.944,0.65111,0.78192,0.9598,0.95517,0.94567,0.97823,0.84828,0.57483,0.70916,0.91236,0.000245514,0.000245514,0.000245514
24,417.502,0.66664,0.76255,0.95924,0.9439,0.96389,0.98621,0.85425,0.57352,0.66317,0.91011,0.000236901,0.000236901,0.000236901
25,434.691,0.64877,0.73316,0.94868,0.95595,0.97086,0.97939,0.84871,0.56842,0.64759,0.90787,0.000228288,0.000228288,0.000228288
26,451.971,0.62916,0.71802,0.95188,0.95961,0.96813,0.98615,0.86587,0.55173,0.64247,0.89728,0.000219675,0.000219675,0.000219675
27,469.673,0.62139,0.70074,0.93939,0.94549,0.96702,0.98681,0.86296,0.5696,0.63104,0.90462,0.000211062,0.000211062,0.000211062
28,486.9,0.59952,0.6616,0.9358,0.96399,0.9689,0.98832,0.86802,0.56735,0.58926,0.91041,0.000202449,0.000202449,0.000202449
29,503.909,0.6147,0.65442,0.93329,0.94623,0.965,0.9732,0.84874,0.55875,0.62197,0.90726,0.000193836,0.000193836,0.000193836
30,521.622,0.61464,0.67316,0.94353,0.94294,0.95859,0.98148,0.84641,0.59221,0.60943,0.92007,0.000185223,0.000185223,0.000185223
31,539.131,0.59444,0.65147,0.93207,0.94708,0.95046,0.97795,0.85551,0.55725,0.60168,0.90847,0.00017661,0.00017661,0.00017661
32,556.6,0.58918,0.61857,0.91955,0.93291,0.94816,0.97485,0.85716,0.5514,0.61925,0.90216,0.000167997,0.000167997,0.000167997
33,574.319,0.57479,0.61263,0.92,0.95585,0.96144,0.98709,0.86402,0.56985,0.5677,0.90818,0.000159384,0.000159384,0.000159384
34,591.875,0.56875,0.58004,0.92011,0.96178,0.96196,0.98367,0.86415,0.54538,0.54945,0.89878,0.000150771,0.000150771,0.000150771
35,609.005,0.56791,0.57987,0.92151,0.94656,0.94029,0.9793,0.85741,0.54108,0.58705,0.90181,0.000142158,0.000142158,0.000142158
36,626.056,0.55963,0.58792,0.91857,0.95163,0.95683,0.98278,0.86775,0.53387,0.54241,0.89705,0.000133545,0.000133545,0.000133545
37,643.57,0.55609,0.55791,0.91392,0.94576,0.95183,0.98477,0.86637,0.53546,0.53517,0.8964,0.000124932,0.000124932,0.000124932
38,661.084,0.547,0.55439,0.90904,0.95269,0.97895,0.98382,0.86863,0.52748,0.51254,0.89646,0.000116319,0.000116319,0.000116319
39,678.125,0.54919,0.55664,0.91682,0.95374,0.98252,0.98617,0.8663,0.54541,0.50489,0.90085,0.000107706,0.000107706,0.000107706
40,695.337,0.53639,0.5425,0.91261,0.954,0.96129,0.98532,0.86949,0.52672,0.50686,0.89752,9.9093e-05,9.9093e-05,9.9093e-05
41,738.575,0.40877,0.42605,0.8528,0.9466,0.96171,0.98104,0.86082,0.53217,0.51577,0.901,9.048e-05,9.048e-05,9.048e-05
42,755.407,0.39857,0.41181,0.84989,0.96054,0.97317,0.98553,0.87614,0.51992,0.48552,0.89419,8.1867e-05,8.1867e-05,8.1867e-05
43,772.383,0.39073,0.40535,0.84622,0.96516,0.96028,0.98734,0.86921,0.52375,0.48242,0.89814,7.3254e-05,7.3254e-05,7.3254e-05
44,789.422,0.37826,0.38998,0.8378,0.9701,0.95739,0.98752,0.87305,0.51463,0.47624,0.89671,6.4641e-05,6.4641e-05,6.4641e-05
45,806.519,0.3665,0.38618,0.84318,0.97412,0.95463,0.98917,0.87321,0.51528,0.47445,0.89494,5.6028e-05,5.6028e-05,5.6028e-05
46,823.728,0.3653,0.37876,0.84142,0.96512,0.96085,0.98388,0.87326,0.51187,0.46658,0.89503,4.7415e-05,4.7415e-05,4.7415e-05
47,840.81,0.35477,0.36969,0.83564,0.9684,0.96343,0.98585,0.87801,0.50553,0.45771,0.89485,3.8802e-05,3.8802e-05,3.8802e-05
48,858.013,0.35182,0.36969,0.82798,0.96919,0.96357,0.98601,0.87554,0.51057,0.45502,0.89541,3.0189e-05,3.0189e-05,3.0189e-05
49,875.429,0.343,0.3573,0.83184,0.97005,0.9639,0.98631,0.87375,0.51325,0.45777,0.90091,2.1576e-05,2.1576e-05,2.1576e-05
50,892.657,0.33957,0.35902,0.83088,0.97448,0.96033,0.98584,0.87487,0.50572,0.45149,0.89716,1.2963e-05,1.2963e-05,1.2963e-05
