epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.3711,1.38134,4.47767,1.44696,0.35297,0.26769,0.23384,0.14279,1.1498,4.22366,1.2833,0.000144765,0.000144765,0.000144765
2,154.216,1.33486,3.57301,1.34558,0.3486,0.57815,0.49008,0.31546,1.13746,3.38841,1.25115,0.000284027,0.000284027,0.000284027
3,224.73,1.29682,3.00221,1.3325,0.4737,0.62751,0.62363,0.40692,1.12085,3.08565,1.26577,0.000417548,0.000417548,0.000417548
4,295.572,1.28131,2.60448,1.30498,0.65586,0.66983,0.70336,0.46708,1.07017,2.44555,1.2248,0.000409161,0.000409161,0.000409161
5,364.891,1.23081,2.26872,1.28216,0.71737,0.743,0.8241,0.57224,1.02642,2.06536,1.20151,0.000400548,0.000400548,0.000400548
6,434.453,1.18911,2.0679,1.26143,0.77739,0.80905,0.88324,0.63036,1.01105,1.71241,1.18812,0.000391935,0.000391935,0.000391935
7,504.352,1.15189,1.85896,1.24299,0.76618,0.87562,0.90934,0.66811,0.97547,1.65857,1.17498,0.000383322,0.000383322,0.000383322
8,573.114,1.11764,1.72332,1.22109,0.81472,0.82476,0.89387,0.63702,1.01034,1.57958,1.18742,0.000374709,0.000374709,0.000374709
9,640.565,1.09178,1.57328,1.21791,0.84984,0.90654,0.93926,0.69927,0.91369,1.45965,1.13593,0.000366096,0.000366096,0.000366096
10,707.204,1.0696,1.4751,1.19558,0.86642,0.88501,0.9369,0.69609,0.91261,1.49907,1.12328,0.000357483,0.000357483,0.000357483
11,779.229,1.0758,1.39498,1.20161,0.9037,0.90813,0.94294,0.70705,0.87283,1.39003,1.12675,0.00034887,0.00034887,0.00034887
12,847.986,1.05172,1.32345,1.18458,0.90678,0.90465,0.93955,0.71951,0.90312,1.23565,1.1143,0.000340257,0.000340257,0.000340257
13,915.272,1.00622,1.23988,1.16542,0.90699,0.93212,0.96283,0.70599,0.89356,1.16959,1.11213,0.000331644,0.000331644,0.000331644
14,979.213,1.02719,1.21991,1.1749,0.8891,0.92604,0.94812,0.70164,0.9439,1.14259,1.15019,0.000323031,0.000323031,0.000323031
15,1041.22,0.99767,1.16383,1.15333,0.90856,0.95246,0.95761,0.72333,0.88568,1.03748,1.12758,0.000314418,0.000314418,0.000314418
16,1103.35,0.96373,1.11731,1.13958,0.9378,0.93007,0.96473,0.72998,0.86825,1.00424,1.11915,0.000305805,0.000305805,0.000305805
17,1165.4,0.97041,1.07772,1.14466,0.94408,0.93753,0.9649,0.72192,0.8817,0.98372,1.11172,0.000297192,0.000297192,0.000297192
18,1227.39,0.95826,1.07222,1.14123,0.9239,0.93516,0.95828,0.73634,0.85284,0.97311,1.11017,0.000288579,0.000288579,0.000288579
19,1289.41,0.95383,1.06361,1.13868,0.8995,0.94601,0.95946,0.74892,0.83226,0.86915,1.09925,0.000279966,0.000279966,0.000279966
20,1351.75,0.92483,1.00778,1.11784,0.92348,0.93257,0.96754,0.74726,0.83445,0.84832,1.08895,0.000271353,0.000271353,0.000271353
21,1413.8,0.93101,0.98057,1.12195,0.93654,0.959,0.96125,0.74407,0.81937,0.87554,1.09305,0.00026274,0.00026274,0.00026274
22,1476.08,0.92372,0.97309,1.12446,0.90499,0.94337,0.95565,0.73012,0.86599,0.84352,1.10807,0.000254127,0.000254127,0.000254127
23,1538.06,0.91486,0.95602,1.123,0.92094,0.92798,0.95087,0.73016,0.87364,0.8803,1.1278,0.000245514,0.000245514,0.000245514
24,1599.96,0.90072,0.91257,1.11975,0.90272,0.9424,0.96219,0.73901,0.83248,0.81093,1.10068,0.000236901,0.000236901,0.000236901
25,1661.95,0.88631,0.90527,1.10886,0.91792,0.94015,0.96345,0.74546,0.82855,0.89094,1.08839,0.000228288,0.000228288,0.000228288
26,1723.8,0.86287,0.86566,1.09381,0.93454,0.9473,0.96166,0.73481,0.84663,0.79867,1.10754,0.000219675,0.000219675,0.000219675
27,1785.72,0.88762,0.85157,1.09567,0.93897,0.95322,0.96774,0.75498,0.80451,0.75443,1.08451,0.000211062,0.000211062,0.000211062
28,1847.7,0.87046,0.85846,1.10119,0.92072,0.94651,0.96355,0.74003,0.83259,0.74792,1.10259,0.000202449,0.000202449,0.000202449
29,1909.75,0.84328,0.8216,1.0833,0.90327,0.95417,0.96369,0.75904,0.80797,0.71109,1.09893,0.000193836,0.000193836,0.000193836
30,1971.84,0.84778,0.80349,1.09182,0.93524,0.95266,0.96879,0.75866,0.82382,0.7075,1.0979,0.000185223,0.000185223,0.000185223
31,2034.6,0.85282,0.80548,1.09132,0.92999,0.95818,0.96953,0.7611,0.80833,0.67933,1.08985,0.00017661,0.00017661,0.00017661
32,2096.68,0.83503,0.77964,1.08251,0.92562,0.95057,0.96982,0.76486,0.8001,0.69743,1.07212,0.000167997,0.000167997,0.000167997
33,2158.6,0.84045,0.79217,1.07419,0.92185,0.97281,0.97364,0.76224,0.8058,0.65395,1.0676,0.000159384,0.000159384,0.000159384
34,2220.62,0.8134,0.75888,1.06095,0.92661,0.95123,0.96299,0.76253,0.79068,0.66236,1.07999,0.000150771,0.000150771,0.000150771
35,2282.6,0.8144,0.73248,1.07114,0.93664,0.94791,0.96959,0.76715,0.79245,0.649,1.07725,0.000142158,0.000142158,0.000142158
36,2344.43,0.80476,0.74437,1.0744,0.93459,0.95934,0.96878,0.76634,0.77316,0.63972,1.06702,0.000133545,0.000133545,0.000133545
37,2406.42,0.80187,0.73236,1.06518,0.92347,0.97026,0.96897,0.76526,0.78805,0.62511,1.07202,0.000124932,0.000124932,0.000124932
38,2469,0.79437,0.73496,1.06459,0.92862,0.97452,0.97288,0.77599,0.77327,0.61728,1.06941,0.000116319,0.000116319,0.000116319
39,2534.09,0.77949,0.7108,1.05847,0.94369,0.96915,0.97013,0.77981,0.76085,0.61754,1.06791,0.000107706,0.000107706,0.000107706
40,2598.42,0.78089,0.7044,1.05905,0.92713,0.96728,0.96833,0.77706,0.75711,0.61807,1.05722,9.9093e-05,9.9093e-05,9.9093e-05
41,2663.74,0.63659,0.50398,0.98504,0.92625,0.96658,0.96956,0.78451,0.74437,0.62956,1.05519,9.048e-05,9.048e-05,9.048e-05
