actual,Anda,Apa,Berhenti,Bodoh,Cantik,Halo,Hati-hati,Lelah,Maaf,Makan,Mau,Membaca,Nama,Sama-sama,Saya,Siapa,Sombong,Takut,Terima-kasih
Anda,126,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,1
Apa,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berhenti,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bodoh,0,0,0,75,0,0,0,0,0,3,0,0,1,0,0,0,48,0,0
Cantik,0,0,0,0,102,0,0,0,1,0,0,0,0,0,1,0,6,0,0
Halo,0,3,0,0,0,89,0,0,7,0,0,0,0,0,0,0,0,0,0
Hati-hati,0,0,5,0,0,0,81,6,0,0,0,14,5,0,0,0,0,0,0
Lelah,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0
Maaf,0,0,0,0,0,2,0,0,121,0,0,0,0,0,0,0,1,0,0
Makan,0,3,0,0,0,0,0,2,0,128,0,0,0,0,0,1,0,0,0
Mau,0,20,0,1,0,0,0,0,1,1,125,1,1,0,4,2,0,0,0
Membaca,0,0,0,0,0,0,0,2,0,0,0,75,4,0,0,0,0,0,0
Nama,0,0,3,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0
Sama-sama,19,5,5,0,4,0,0,5,1,0,2,0,3,49,12,5,0,1,0
Saya,0,0,0,0,0,0,0,0,0,4,0,0,1,0,150,1,2,0,0
Siapa,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,148,3,0,0
Sombong,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,135,0,0
Takut,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,187,0
Terima-kasih,2,41,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,98
